	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	ageanyformula	M00194	ageanyformula	-0.000298787995606801	518	510	0.0104098283522134	0.104098283522134
2	Antibiotics_before_3_months	M00336	Antibiotics_before_3_months1	0.00374328569296061	518	309	0.00142847691443516	0.0158231288983587
3	Antibiotics_before_3_months	M00229	Antibiotics_before_3_months1	0.00317209342996848	518	363	0.0152965537483482	0.146846915984143
4	Antibiotics_before_3_months	M00121	Antibiotics_before_3_months1	0.00802219283107703	518	506	0.0215620338046399	0.199034158196676
5	Any_smoking_during_pregnancy	M00060	Any_smoking_during_pregnancy1	0.0134091622049071	518	418	0.0107274938862569	0.105805419152123
6	bfduration	M00017	bfduration	0.000848478506386805	518	518	0.00291652330041493	0.0318166178227083
7	bfduration	M00207	bfduration	-0.000859892624230006	518	512	0.00871001392702955	0.0887338623110537
8	caesar	M00115	caesar1	-0.0264877971192695	518	513	5.65975756829664e-08	8.67026691313528e-07
9	caesar	M00276	caesar1	0.0215226403865481	518	517	5.26589589210599e-07	7.58289008463262e-06
10	caesar	M00064	caesar1	0.0109197405764108	518	482	0.0010624825784999	0.0119529290081239
11	caesar	M00035	caesar1	-0.015025263517381	518	495	0.0047589233562109	0.0503886002422331
12	caesar	M00299	caesar1	0.0118311993535159	518	516	0.0109433449964074	0.106475789154234
13	eczema_by_2_years	M00277	eczema_by_2_years1	0.00597692401742966	518	473	0.0166560381012965	0.155744771856279
14	studygroup	M00198	studygrouplactob DR20	0.0113884940009901	518	484	0.00153679940110509	0.0330297184715124
15	time	M00310	time	0.00196117013642535	518	299	5.19322532722585e-108	3.73912223560261e-105
16	time	M00185	time	0.0043654582017202	518	468	2.76918848707532e-78	9.96907855347116e-76
17	time	M00359	time	0.00492659882509601	518	512	3.57924746519796e-60	8.59019391647511e-58
18	time	M00026	time	0.00414118284950611	518	487	3.63612820554803e-59	6.54503076998646e-57
19	time	M00360	time	0.00266575857929779	518	518	3.39357272557677e-49	4.88674472483056e-47
20	time	M00178	time	0.0016959777430308	518	518	5.51683732120528e-44	6.62020478544633e-42
21	time	M00348	time	0.00122831174040703	518	465	6.10175465568902e-43	6.27609050299442e-41
22	time	M00003	time	0.00325803512205328	518	518	4.10152221991751e-41	3.69136999792576e-39
23	time	M00001	time	0.00216359650044618	518	518	8.16361337656578e-39	6.53089070125262e-37
24	time	M00245	time	0.00276858157937365	518	431	3.385137804783e-36	2.43729921944376e-34
25	time	M00016	time	0.00302147749310626	518	517	3.82629673158199e-36	2.50448513339912e-34
26	time	M00197	time	0.00239391190596581	518	518	4.33412353414333e-33	2.600474120486e-31
27	time	M00006	time	-0.00280088821720551	518	518	1.26130440367137e-31	6.98568592802604e-30
28	time	M00002	time	0.000821495570399855	518	518	2.29793073797244e-31	1.18179295095726e-29
29	time	M00061	time	0.00240707035670503	518	480	1.38274264786939e-30	6.63716470977305e-29
30	time	M00119	time	0.00246111721413169	518	516	6.67779696388225e-26	3.00500863374701e-24
31	time	M00019	time	-0.00304203188426752	518	361	4.55072816453514e-25	1.91805989078551e-23
32	time	M00125	time	0.00258702613282417	518	517	4.79514972696378e-25	1.91805989078551e-23
33	time	M00126	time	-0.00206850457687364	518	517	6.03982747163168e-25	2.288776726092e-23
34	time	M00133	time	0.00153417063216463	518	481	2.25197249390363e-23	8.10710097805307e-22
35	time	M00009	time	-0.00192735272715077	518	424	3.25830240743016e-23	1.03614409186134e-21
36	time	M00157	time	-0.00136533348796386	518	518	3.30990473789038e-23	1.03614409186134e-21
37	time	M00164	time	-0.00136533348796386	518	518	3.30990473789038e-23	1.03614409186134e-21
38	time	M00012	time	-0.00154936083956526	518	452	4.50686422599725e-23	1.35205926779917e-21
39	time	M00011	time	-0.00170500417964226	518	425	3.1760072103193e-21	9.14690076571957e-20
40	time	M00004	time	-0.00174160848830208	518	518	3.43237288978305e-19	9.50503261786076e-18
41	time	M00008	time	-0.0012307810669065	518	450	9.52466777924396e-19	2.53991140779839e-17
42	time	M00193	time	-0.00253625967468859	518	512	1.62240711717925e-17	4.17190401560379e-16
43	time	M00150	time	-0.000666697022422912	518	359	7.16918168004206e-17	1.77993476194148e-15
44	time	M00025	time	-0.00153406609149217	518	489	1.51506573235745e-16	3.63615775765787e-15
45	time	M00149	time	-0.00102246873852002	518	388	2.2921756537347e-16	5.32376280867415e-15
46	time	M00017	time	-0.00151040968087838	518	518	1.44096443107325e-15	3.24216996991482e-14
47	time	M00194	time	0.00147253460283851	518	510	9.89382401481897e-15	2.15865251232414e-13
48	time	M00230	time	-0.000215459554156023	518	342	2.15556283525556e-14	4.56472129818825e-13
49	time	M00229	time	-0.000328033188328852	518	363	5.20853324180499e-14	1.07146969545703e-12
50	time	M00324	time	-0.000688906123712786	518	484	4.27838952976216e-13	8.55677905952433e-12
51	time	M00022	time	-0.000764094463755243	518	518	1.97127486798642e-12	3.8359943377033e-11
52	time	M00239	time	-0.00127264929759421	518	518	1.72668289276176e-11	3.2716096915486e-10
53	time	M00144	time	0.000638677289786056	518	331	3.91142512318481e-11	7.22109253511042e-10
54	time	M00349	time	-0.000153828234086928	518	389	6.12279436447156e-11	1.10210298560488e-09
55	time	M00117	time	-0.000335332796737956	518	337	2.03317611345182e-10	3.57045561386661e-09
56	time	M00225	time	-9.18658863618781e-05	518	340	1.0405304638672e-09	1.78376650948663e-08
57	time	M00317	time	-0.000584399196658733	518	329	1.18691320486239e-08	1.98738955232773e-07
58	time	M00222	time	-0.000671227418479548	518	518	2.75387462308274e-08	4.50634029231721e-07
59	time	M00226	time	-6.24546007683535e-05	518	335	4.52328773898208e-08	7.23726038237132e-07
60	time	M00207	time	0.00110708970596312	518	512	5.10543803949209e-08	7.99112040963979e-07
61	time	M00260	time	-0.000310712666971783	518	301	1.55873452016793e-07	2.33810178025189e-06
62	time	M00142	time	0.000177939004107111	518	361	4.58181413529133e-07	6.73246158655052e-06
63	time	M00060	time	-0.00047848494978198	518	418	5.77398736298052e-07	8.15151157126662e-06
64	time	M00124	time	-0.000430440049981367	518	395	5.89867521205039e-07	8.16739644745439e-06
65	time	M00159	time	0.000355800819246511	518	413	1.36886823910488e-06	1.85959458897266e-05
66	time	M00311	time	0.00106091743822679	518	406	1.61113545721129e-06	2.14818060961505e-05
67	time	M00232	time	-0.000141523408717799	518	335	9.79151855675992e-06	0.000128179879288494
68	time	M00028	time	-0.000921532918166804	518	517	1.47743605933971e-05	0.000189956064772249
69	time	M00233	time	-0.00151636175776215	518	465	2.27137752165268e-05	0.000286910844840339
70	time	M00035	time	0.00112914118115257	518	495	2.93647290059574e-05	0.000364527670418782
71	time	M00336	time	-0.000156636820601344	518	309	3.23710884002673e-05	0.000395037010986313
72	time	M00237	time	-0.00088149923412318	518	518	4.271398720056e-05	0.00051256784640672
73	time	M00278	time	-0.000138976138340434	518	264	0.00010306410113105	0.00121649430843206
74	time	M00050	time	-0.000676297507023094	518	518	0.000533576740023738	0.00619637504543695
