"","Estimate","Std. Error","t value","Pr(>|t|)","taxo","taxo_trim"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter",0.0133892212415321,0.00450013567430686,2.9752927934988,0.00303674044184044,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter","Coprobacter"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Odoribacter",0.0219464888159078,0.00444766133924101,4.93438846664818,1.02493887591884e-06,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Odoribacter","Odoribacter"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides",0.032641490434198,0.00434455301287914,7.51319878879012,1.93647369886568e-13,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides","Parabacteroides"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella",0.0221181642177791,0.00444634060529588,4.97446466234165,8.40406028110717e-07,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella","Paraprevotella"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella",0.0272609127446753,0.00440177481531243,6.19316386877469,1.05107906706852e-09,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella","Prevotella"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes",0.0650069201239705,0.00373733014146676,17.3939463904191,7.70368555050402e-56,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes","Alistipes"
"k__Bacteria.p__Candidatus_Saccharibacteria.c__Candidatus_Saccharibacteria_noname.o__Candidatus_Saccharibacteria_noname.f__Candidatus_Saccharibacteria_noname.g__Candidatus_Saccharibacteria_noname_unclassified",0.0158505803778937,0.00448770174675405,3.53200396825801,0.00044188789496116,"k__Bacteria.p__Candidatus_Saccharibacteria.c__Candidatus_Saccharibacteria_noname.o__Candidatus_Saccharibacteria_noname.f__Candidatus_Saccharibacteria_noname.g__Candidatus_Saccharibacteria_noname_unclassified","Candidatus_Saccharibacteria_noname_unclassified"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_noname.g__Gemella",0.0144870493578904,0.00449485265072153,3.22303098313242,0.00133242935749036,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_noname.g__Gemella","Gemella"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus",-0.079384990322201,0.00327779110052153,-24.2190511498948,1.27456126323538e-92,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus","Staphylococcus"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Abiotrophia",0.0402933928623045,0.00424364708178164,9.49499147450025,4.22345103207289e-20,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Abiotrophia","Abiotrophia"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella",0.0695542056532227,0.00360797729450619,19.2778945031422,1.01367543685086e-65,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella","Granulicatella"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus",-0.0355750603063797,0.00430864231721375,-8.25667523253238,8.50080286544553e-16,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus","Enterococcus"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus",0.019616826530361,0.00446453202295143,4.3939267160621,1.30163102189259e-05,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus","Lactobacillus"
