	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
66	time	ko00740	time	0.000994468897306146	518	518	8.93189239473848e-22	2.51738335651708e-20
67	time	ko00360	time	-0.000279838805136574	518	518	5.22602082531728e-20	1.43514571895251e-18
68	time	ko00311	time	-0.000722407873233496	518	515	2.0372812879358e-19	5.45482064844811e-18
69	time	ko03410	time	0.000301535691891212	518	518	3.18992538708757e-19	8.33270753553852e-18
70	time	ko02030	time	0.00116455739947378	518	488	7.47735387610027e-19	1.90672523840557e-17
71	time	ko00511	time	-0.000663138219954115	518	518	1.18801793303483e-18	2.95899350297744e-17
72	time	ko00630	time	0.000340679051882485	518	518	2.53740551844382e-18	6.17627570512122e-17
73	time	ko00362	time	0.000238519057237127	518	518	1.30551014197456e-17	3.10711413789946e-16
74	time	ko00310	time	0.000860534107010226	518	517	1.36748218259606e-17	3.18385525556605e-16
75	time	ko00280	time	-0.000203949159718525	518	518	2.02731959225156e-17	4.61970060276898e-16
76	time	ko05142	time	-0.000473089449016833	518	227	7.98143356111469e-17	1.78085736332372e-15
77	time	ko00730	time	0.000407264862413081	518	518	1.50379650709514e-16	3.28686950836509e-15
78	time	ko02040	time	0.000804300736697011	518	518	2.90785676611201e-13	6.22862919301193e-12
79	time	ko00625	time	0.00129368258397956	518	165	6.19507222898922e-13	1.30096516808774e-11
80	time	ko00230	time	0.000139252591505503	518	518	1.88129767611363e-12	3.8747496367648e-11
81	time	ko03420	time	0.000108016853886192	518	518	2.57845211485185e-11	5.21041927359686e-10
82	time	ko04146	time	-0.000258777763363087	518	503	3.47777084071313e-11	6.89757883408105e-10
83	time	ko00624	time	0.000652889856055005	518	207	1.45524003472024e-10	2.83374923124615e-09
84	time	ko04974	time	-0.000367829336833134	518	518	2.32334957804169e-10	4.44340606800473e-09
85	time	ko00900	time	-0.000163048509798967	518	518	4.9078583755802e-09	9.0626143452524e-08
86	time	ko00521	time	0.000499218960681623	518	518	6.38371781461702e-09	1.15880708126353e-07
87	time	ko00626	time	-0.000766711152022056	518	86	8.22894619599888e-09	1.4688668959858e-07
88	time	ko00010	time	0.000212353144924126	518	518	1.14644733168303e-08	2.01286080693857e-07
89	time	ko04910	time	0.000169515508044842	518	508	1.95662460449404e-08	3.37991121195664e-07
90	time	ko00051	time	0.000577192596720295	518	518	5.26157751802928e-08	8.80492112782712e-07
91	time	ko00500	time	-0.00024133819128786	518	518	6.3464601496808e-08	1.04570135697048e-06
92	time	ko04122	time	0.00034854665529632	518	518	7.75333447575787e-08	1.25815473083889e-06
93	time	ko00627	time	-0.000397556270516995	518	518	1.71781473983367e-07	2.70555821523803e-06
94	time	ko03013	time	0.000191466204356046	518	518	3.04856864096793e-07	4.73190871663283e-06
95	time	ko00240	time	9.92548193119816e-05	518	518	6.20914772772052e-07	9.23610724498427e-06
96	time	ko00312	time	-8.46654183918247e-05	518	470	1.01396377086626e-06	1.48760986109283e-05
97	time	ko02020	time	-0.000134495941364403	518	518	1.44095323457087e-06	2.08548772192621e-05
98	time	ko01053	time	-0.000322514297264079	518	518	1.9386156359957e-06	2.76834312820185e-05
99	time	ko00600	time	0.000518230555891298	518	465	2.92885115888583e-06	4.12736788311411e-05
100	time	ko00860	time	0.000305029184692512	518	518	4.39683066251981e-06	6.05452977298985e-05
101	time	ko00720	time	0.000125285503399762	518	518	4.40946145932034e-06	6.05452977298985e-05
102	time	ko05143	time	0.000340955453196911	518	365	4.66429843345615e-06	6.32337167371081e-05
103	time	ko00910	time	-0.000105311417872355	518	518	6.71680769854324e-06	8.99212630642476e-05
104	time	ko05120	time	-6.79492981978167e-05	518	518	9.84343516722375e-06	0.000129053321451744
105	time	ko03050	time	-0.000257875144278793	518	516	1.36247890155693e-05	0.000175809024526201
106	time	ko00590	time	-0.000276549895451828	518	496	4.15925209469979e-05	0.000517971975979474
107	time	ko00670	time	8.18539246538782e-05	518	518	4.95317358864666e-05	0.000602823740163701
108	time	ko00540	time	-0.00071001170447593	518	518	5.84581233822834e-05	0.000703467979128376
109	time	ko00562	time	0.000116192126331331	518	518	8.50489868515497e-05	0.00101208294353344
110	time	ko00564	time	-0.000123831990807651	518	518	0.000199113700508424	0.00226862524728214
111	time	ko00340	time	-0.000167177015031293	518	518	0.000224855306875473	0.00253494772277507
112	time	ko05150	time	-0.000231348504543487	518	518	0.000239944377398114	0.00267687946034771
113	time	ko00430	time	-0.00054695717045237	518	457	0.000613915666772299	0.00664145130417306
114	time	ko00710	time	-0.000128226815997123	518	512	0.000811891800565465	0.00869536118405613
115	time	ko04621	time	2.48566264357094e-05	518	358	0.00101099980224894	0.0107206018634516
116	time	ko00361	time	-9.03626640785797e-05	518	338	0.00123497068607082	0.0128412971338043
117	time	ko04210	time	6.69247468170894e-05	518	510	0.00152057578844923	0.0156590064368185
118	time	ko00190	time	-7.846739742296e-05	518	518	0.00186193974468473	0.0189917853957843
119	time	ko00906	time	6.59158317002002e-05	518	510	0.00288026859935087	0.0291015817915546
120	time	ko03070	time	-8.10343824288985e-05	518	518	0.00322524074573421	0.0322825498942181
121	time	ko00030	time	9.36542585420835e-05	518	518	0.00385391747352559	0.0382180149457954
122	time	ko00270	time	8.948059783529e-05	518	518	0.00392017466038475	0.0385184134061657
123	time	ko04141	time	9.88716080124115e-05	518	517	0.00463382349766734	0.0451165906000157
124	time	ko00520	time	-5.94774456722955e-05	518	518	0.00553654484520479	0.0534201759388679
125	time	ko00040	time	0.000175129961967293	518	518	0.0083769980829652	0.0793961499721746
126	time	ko00531	time	-0.000224063646483051	518	501	0.0125944226054296	0.112405221753459
127	time	ko00640	time	5.16578647276322e-05	518	518	0.0139630843373736	0.123590605994439
